Month,Week,Day,USD,EUR,AUD
1,1,1,176.27,199.079,126.76
1,1,2,176.25,198.898,127.57
1,1,3,176.3,199.448,127.27
1,1,4,176.65,199.456,126.48
1,1,5,176.55,200.543,126.73
1,2,6,176.3,199.642,126.37
1,2,7,176.37,200.445,127.15
1,2,8,175.9,201.265,128.13
1,2,9,176,201.573,128.15
1,2,10,175.75,200.601,126.65
1,3,11,175.9,200.649,126.82
1,3,12,175.52,198.776,126.06
1,3,13,175.97,199.568,126.87
1,3,14,176.25,199.339,127.34
1,3,15,176,199.584,126.42
1,4,16,175.94,199.217,125.62
1,4,17,176.2,199.088,125.98
1,4,18,176.7,198.558,125.7
1,4,19,176.6,196.785,124.17
1,4,20,176.5,196.674,123.3
2,5,26,174.28,199.411,124.17
2,5,27,174,198.604,124.32
2,5,28,174.15,198.914,125
2,5,29,174.9,199.858,125.32
2,5,30,174.5,198.04,124.51
2,6,31,175.75,198.685,125.22
2,6,32,175.8,199.638,125.71
2,6,33,175.5,199.596,126.22
2,6,34,175.2,199.027,125.85
2,6,35,175.6,198.797,125.96
2,7,36,175.6,198.604,126.26
2,7,37,176,199.32,127.05
2,7,38,176,199.038,127.3
2,7,39,176.5,197.521,126.41
2,7,40,176.8,199.201,127.86
2,8,41,177.25,198.857,128.72
2,8,42,177.25,197.191,128.49
2,8,43,177.35,197.231,129.39
2,8,44,177.5,196.386,130.09
2,8,45,177.25,193.663,130.63
3,9,46,177.8,192.949,130.08
3,9,47,178.5,194.547,129.7
3,9,48,178.5,197.689,130.7
3,9,49,178.5,196.047,131.32
3,9,50,178.35,194.562,130.02
3,10,51,179,195.808,128.65
3,10,52,179.15,196.187,128.92
3,10,53,179.3,197.804,130.69
3,10,54,179.55,199.103,132.4
3,10,55,180.5,199.434,133.8
3,11,56,181.15,199.519,134.05
3,11,57,181.7,200.379,135.68
3,11,58,181.7,199.943,136.22
3,11,59,181.6,199.669,136.42
3,11,60,181.7,199.525,136.49
3,12,61,182.1,199.909,136.36
3,12,62,182.2,201.969,136.87
3,12,63,182.4,203.504,136.96
3,12,64,183.4,202.932,137.18
3,12,65,183.9,203.265,137.91
4,13,66,183.2,200.97,138.17
4,13,67,185.1,201.815,140.29
4,13,68,186.05,202.683,139.78
4,13,69,188,204.506,140.61
4,13,70,184,200.118,137.17
4,14,71,182.82,198.963,135.58
4,14,72,181.62,196.622,135.47
4,14,73,181.25,197.291,135
4,14,74,180.64,195.597,133.96
4,14,75,181.5,196.129,134.26
4,15,76,181,196.077,133.62
4,15,77,181.89,197.384,134.87
4,15,78,183,201.395,138.2
4,15,79,185.6,202.254,137.58
4,15,80,186.65,202.074,135.5
4,16,81,187.21,198.903,133.28
4,16,82,185.7,197.758,132.41
4,16,83,185.95,195.842,132.06
4,16,84,185.32,194.517,131.44
4,16,85,185.29,195.43,130.95
5,17,91,185.4,198.012,130.48
5,17,92,186.03,198.908,131.04
5,17,93,187.6,200.235,132.15
5,17,94,188.95,199.173,131.53
5,17,95,190.5,200.672,133.75
5,18,96,191.9,201.631,134.73
5,18,97,192.75,207.249,138.12
5,18,98,193.3,206.704,137.36
5,18,99,196.5,211.422,140.73
5,18,100,197.5,211.306,140.73
5,19,101,199.7,214.208,142.38
5,19,102,200.1,214.787,142.13
5,19,103,200.4,215.736,143.28
5,19,104,200.1,216.893,143.56
5,19,105,202,214.272,143.02
5,20,106,202.25,214.031,142.91
5,20,107,199.75,213.265,142.55
5,20,108,198.6,210.298,141.71
5,20,109,198.7,211.911,143.27
5,20,110,197.5,211.593,142.25
6,21,111,197.2,213.666,143.68
6,21,112,197.4,216.387,146.17
